date, Impressions,  Cost,  CPC,  Clicks,  Revenue,  Leads,  CVR,  CM, RPL
10/9/19,417,$190 ,$4.41 ,43,$298 ,2,4.65%,$108 ,$149 
10/10/19,676,$349 ,$5.71 ,61,$700 ,4,6.56%,$351 ,$175 
10/11/19,612,$377 ,$5.16 ,73,"$1,673 ",9,12.33%,"$1,296 ",$186 
10/12/19,329,$234 ,$5.20 ,45,$276 ,2,4.44%,$42 ,$138 
10/13/19,270,$209 ,$5.51 ,38,$149 ,1,2.63%,($61),$149 
10/14/19,549,$368 ,$5.04 ,73,$675 ,3,4.11%,$307 ,$225 
10/15/19,404,$177 ,$6.10 ,29,$128 ,1,3.45%,($49),$128 
10/16/19,583,$343 ,$5.27 ,65,$600 ,3,4.62%,$257 ,$200 
10/17/19,612,$426 ,$5.47 ,78,$625 ,4,5.13%,$199 ,$156 
10/18/19,479,$302 ,$5.59 ,54,$798 ,4,7.41%,$496 ,$199 
10/19/19,235,$142 ,$5.67 ,25,$0 , -   ,0.00%,($142),#DIV/0!
10/20/19,208,$171 ,$5.53 ,31,$85 ,1,3.23%,($86),$85 
10/21/19,702,$595 ,$5.67 ,105,$0 , -   ,0.00%,($595),#DIV/0!
10/22/19,569,$449 ,$5.76 ,78,"$1,105 ",6,7.69%,$656 ,$184 
10/23/19,507,$282 ,$4.95 ,57,"$1,063 ",5,8.77%,$780 ,$213 
10/24/19,422,$293 ,$5.15 ,57,$650 ,4,7.02%,$357 ,$163 
10/25/19,732,$683 ,$7.04 ,97,"$1,369 ",8,8.25%,$686 ,$171 
10/26/19,313,$348 ,$8.49 ,41,$298 ,2,4.88%,($50),$149 
10/27/19,354,$347 ,$7.55 ,46,$0 , -   ,0.00%,($347),#DIV/0!
10/28/19,892,$866 ,$7.41 ,117,"$1,375 ",7,5.98%,$509 ,$196 
10/29/19,856,"$1,080 ",$7.88 ,137,"$1,950 ",12,8.76%,$870 ,$163 
10/30/19,540,$547 ,$6.92 ,79,"$1,048 ",6,7.59%,$501 ,$175 
10/31/19,253,$313 ,$6.13 ,51,$950 ,5,9.80%,$637 ,$190 
11/1/19,831,$996 ,$7.38 ,135,"$1,870 ",11,8.15%,$874 ,$170 
11/2/19,476,$457 ,$7.49 ,61,$595 ,5,8.20%,$138 ,$119 
11/3/19,484,$473 ,$7.63 ,62,$553 ,4,6.45%,$80 ,$138 
11/4/19,"1,204","$1,259 ",$6.84 ,184,"$1,215 ",6,3.26%,($44),$203 
11/5/19,"1,087","$1,131 ",$6.94 ,163,"$1,375 ",7,4.29%,$244 ,$196 
11/6/19,999,$950 ,$6.88 ,138,"$2,235 ",12,8.70%,"$1,285 ",$186 
11/7/19,935,$853 ,$7.05 ,121,"$1,800 ",9,7.44%,$947 ,$200 
11/8/19,763,$769 ,$6.81 ,113,"$1,400 ",8,7.08%,$631 ,$175 
11/9/19,390,$363 ,$6.59 ,55,$213 ,1,1.82%,($150),$213 
11/10/19,367,$312 ,$6.51 ,48,$0 , -   ,0.00%,($312),#DIV/0!
11/11/19,608,$490 ,$6.54 ,75,$175 ,1,1.33%,($315),$175 
11/12/19,892,$851 ,$6.59 ,129,"$2,775 ",16,12.40%,"$1,924 ",$173 
11/13/19,846,$752 ,$6.59 ,114,"$1,149 ",5,4.39%,$397 ,$230 
11/14/19,771,$808 ,$6.79 ,119,"$1,315 ",6,5.04%,$507 ,$219 
11/15/19,665,$550 ,$6.97 ,79,"$1,031 ",6,7.59%,$481 ,$172 
11/16/19,412,$369 ,$7.52 ,49,$984 ,6,12.24%,$615 ,$164 
11/17/19,352,$216 ,$6.34 ,34,$937 ,4,11.76%,$722 ,$234 
11/18/19,742,$588 ,$7.34 ,80,"$1,829 ",8,10.00%,"$1,241 ",$229 
11/19/19,798,$794 ,$7.63 ,104,$953 ,4,3.85%,$159 ,$238 
11/20/19,710,$690 ,$7.18 ,96,$772 ,4,4.17%,$82 ,$193 
11/21/19,619,$714 ,$7.36 ,97,"$1,185 ",5,5.15%,$472 ,$237 
11/22/19,551,$470 ,$8.11 ,58,"$1,290 ",7,12.07%,$820 ,$184 
11/23/19,306,$327 ,$6.28 ,52,$469 ,2,3.85%,$142 ,$234 
11/24/19,256,$297 ,$7.62 ,39,$890 ,5,12.82%,$593 ,$178 
11/25/19,554,$583 ,$7.38 ,79,"$2,107 ",11,13.92%,"$1,524 ",$192 
11/26/19,511,$512 ,$7.53 ,68,"$1,386 ",6,8.82%,$874 ,$231 
11/27/19,379,$368 ,$6.69 ,55,$703 ,3,5.45%,$335 ,$234 
11/28/19,99,$35 ,$4.98 ,7,$0 , -   ,0.00%,($35),#DIV/0!
11/29/19,194,$158 ,$7.18 ,22,$193 ,1,4.55%,$35 ,$193 
11/30/19,132,$88 ,$4.88 ,18,$164 ,1,5.56%,$76 ,$164 
12/1/19,185,$60 ,$5.41 ,11,$0 , -   ,0.00%,($60),#DIV/0!
12/2/19,681,$785 ,$8.01 ,98,$164 ,1,1.02%,($621),$164 
12/3/19,723,$854 ,$7.63 ,112,"$1,085 ",5,4.46%,$230 ,$217 
12/4/19,679,$759 ,$7.99 ,95,"$2,088 ",10,10.53%,"$1,329 ",$209 
12/5/19,686,$764 ,$7.34 ,104,"$1,304 ",7,6.73%,$540 ,$186 
12/6/19,556,$649 ,$7.64 ,85,"$1,929 ",10,11.76%,"$1,280 ",$193 
12/7/19,299,$293 ,$7.51 ,39,"$2,422 ",12,30.77%,"$2,130 ",$202 
12/8/19,282,$243 ,$6.94 ,35,$164 ,1,2.86%,($79),$164 
12/9/19,715,$786 ,$7.63 ,103,"$1,000 ",4,3.88%,$214 ,$250 
12/10/19,710,$819 ,$7.51 ,109,$0 , -   ,0.00%,($819),#DIV/0!
12/11/19,710,$962 ,$7.82 ,123,"$2,288 ",12,9.76%,"$1,326 ",$191 
12/12/19,534,$586 ,$7.92 ,74,"$1,551 ",7,9.46%,$965 ,$222 
12/13/19,443,$477 ,$7.96 ,60,"$1,715 ",8,13.33%,"$1,237 ",$214 
12/14/19,245,$380 ,$8.84 ,43,$492 ,3,6.98%,$112 ,$164 
12/15/19,240,$285 ,$7.71 ,37,"$1,359 ",7,18.92%,"$1,073 ",$194 
12/16/19,603,$912 ,$8.53 ,107,"$1,631 ",8,7.48%,$719 ,$204 
12/17/19,603,$818 ,$8.43 ,97,"$2,218 ",13,13.40%,"$1,400 ",$171 
12/18/19,459,$484 ,$8.49 ,57,"$1,563 ",7,12.28%,"$1,079 ",$223 
12/19/19,480,$703 ,$8.68 ,81,$955 ,7,8.64%,$252 ,$136 
12/20/19,418,$465 ,$8.77 ,53,$164 ,1,1.89%,($301),$164 
12/21/19,267,$363 ,$7.89 ,46,$703 ,3,6.52%,$340 ,$234 
12/22/19,247,$347 ,$8.46 ,41,$328 ,2,4.88%,($19),$164 
12/23/19,409,$462 ,$8.25 ,56,$882 ,5,8.93%,$420 ,$176 
12/24/19,314,$421 ,$8.41 ,50,"$1,242 ",6,12.00%,$821 ,$207 
12/25/19,210,$244 ,$8.40 ,29,$0 , -   ,0.00%,($244),#DIV/0!
12/26/19,525,$793 ,$8.61 ,92,$772 ,4,4.35%,($21),$193 
12/27/19,526,$671 ,$8.72 ,77,"$1,500 ",6,7.79%,$829 ,$250 
12/28/19,421,$776 ,$9.46 ,82,"$1,429 ",7,8.54%,$653 ,$204 
12/29/19,333,$395 ,$7.91 ,50,$0 , -   ,0.00%,($395),#DIV/0!
12/30/19,592,$809 ,$8.61 ,94,"$1,803 ",10,10.64%,$994 ,$180 
12/31/19,486,$703 ,$9.37 ,75,$132 ,2,2.67%,($570),$66 
1/1/20,406,$560 ,$9.03 ,62,$492 ,3,4.84%,($68),$164 
1/2/20,"1,012","$1,627 ",$9.14 ,178,"$4,480 ",21,11.80%,"$2,853 ",$213 
1/3/20,886,"$1,404 ",$9.00 ,156,"$4,059 ",20,12.82%,"$2,655 ",$203 
1/4/20,493,$796 ,$9.15 ,87,"$1,945 ",12,13.79%,"$1,148 ",$162 
1/5/20,441,$534 ,$8.09 ,66,$623 ,4,6.06%,$89 ,$156 
1/6/20,957,$993 ,$8.49 ,117,"$3,080 ",13,11.11%,"$2,087 ",$237 
1/7/20,"1,130","$1,426 ",$8.59 ,166,"$5,745 ",28,16.87%,"$4,318 ",$205 
1/8/20,"1,074","$1,336 ",$9.03 ,148,"$2,971 ",16,10.81%,"$1,635 ",$186 
1/9/20,"1,038","$1,107 ",$8.72 ,127,$914 ,4,3.15%,($193),$229 
1/10/20,885,"$1,090 ",$9.08 ,120,$778 ,4,3.33%,($312),$195 
1/11/20,517,$626 ,$8.82 ,71,"$1,148 ",7,9.86%,$522 ,$164 
1/12/20,549,$669 ,$8.06 ,83,$0 , -   ,0.00%,($669),#DIV/0!
1/13/20,442,"$1,113 ",$15.89 ,70,"$1,821 ",9,12.86%,$708 ,$202 
1/14/20,690,"$1,085 ",$9.52 ,114,"$1,818 ",10,8.77%,$733 ,$182 
1/15/20,567,$827 ,$9.09 ,91,"$1,356 ",6,6.59%,$529 ,$226 
1/16/20,853,"$1,297 ",$10.13 ,128,$912 ,6,4.69%,($384),$152 
1/17/20,802,"$1,793 ",$12.90 ,139,"$4,387 ",19,13.67%,"$2,595 ",$231 
1/18/20,394,$817 ,$10.09 ,81,"$1,252 ",6,7.41%,$434 ,$209 
1/19/20,281,$581 ,$11.18 ,52,$344 ,2,3.85%,($238),$172 
1/20/20,602,$802 ,$11.63 ,69,"$1,399 ",9,13.04%,$597 ,$155 
1/21/20,673,"$1,301 ",$13.99 ,93,"$1,356 ",6,6.45%,$56 ,$226 
1/22/20,446,$853 ,$12.36 ,69,"$3,853 ",20,28.99%,"$3,000 ",$193 
1/23/20,794,"$1,129 ",$10.85 ,104,"$2,030 ",10,9.62%,$901 ,$203 
1/24/20,780,"$1,432 ",$12.13 ,118,"$4,563 ",23,19.49%,"$3,131 ",$198 
1/25/20,456,$885 ,$11.49 ,77,"$1,535 ",9,11.69%,$650 ,$171 
1/26/20,355,$552 ,$11.51 ,48,"$1,252 ",6,12.50%,$699 ,$209 
1/27/20,531,"$1,082 ",$11.76 ,92,"$1,415 ",7,7.61%,$333 ,$202 
1/28/20,434,"$1,089 ",$13.13 ,83,"$1,334 ",6,7.23%,$245 ,$222 
1/29/20,697,$952 ,$9.42 ,101,"$1,715 ",9,8.91%,$763 ,$191 
1/30/20,878,$975 ,$10.05 ,97,"$1,154 ",5,5.15%,$179 ,$231 
1/31/20,728,$892 ,$9.01 ,99,"$1,447 ",6,6.06%,$555 ,$241 
2/1/20,511,$683 ,$10.35 ,66,"$1,727 ",13,19.70%,"$1,044 ",$133 
2/2/20,366,$930 ,$12.74 ,73,"$1,580 ",10,13.70%,$650 ,$158 
2/3/20,739,"$1,568 ",$14.25 ,110,"$2,000 ",8,7.27%,$432 ,$250 
2/4/20,980,"$1,246 ",$9.03 ,138,"$3,173 ",14,10.14%,"$1,927 ",$227 
2/5/20,927,"$1,661 ",$14.70 ,113,"$2,311 ",11,9.73%,$649 ,$210 
2/6/20,"1,003","$1,826 ",$11.78 ,155,"$3,902 ",14,9.03%,"$2,076 ",$279 
2/7/20,791,"$1,586 ",$12.29 ,129,"$1,580 ",7,5.43%,($5),$226 
2/8/20,585,"$1,626 ",$15.05 ,108,"$1,267 ",11,10.19%,($359),$115 
2/9/20,505,"$1,253 ",$14.08 ,89,"$1,091 ",8,8.99%,($162),$136 
2/10/20,753,"$1,738 ",$14.37 ,121,$739 ,5,4.13%,($999),$148 
2/11/20,"1,008","$1,694 ",$11.52 ,147,"$2,459 ",11,7.48%,$765 ,$224 
2/12/20,806,"$1,669 ",$11.59 ,144,"$2,870 ",14,9.72%,"$1,201 ",$205 
2/13/20,807,"$1,320 ",$10.23 ,129,"$4,550 ",23,17.83%,"$3,230 ",$198 
2/14/20,606,"$1,343 ",$11.57 ,116,"$2,098 ",9,7.76%,$755 ,$233 
2/15/20,451,$995 ,$12.60 ,79,$0 , -   ,0.00%,($995),#DIV/0!
2/16/20,481,"$1,098 ",$13.07 ,84,$520 ,3,3.57%,($578),$173 
2/17/20,578,"$1,470 ",$13.74 ,107,$42 , -   ,0.00%,"($1,428)",#DIV/0!
2/18/20,"2,558",$509 ,$2.35 ,217,"$1,378 ",9,4.15%,$869 ,$153 
2/19/20,"2,524",$816 ,$3.53 ,231,"$2,822 ",16,6.93%,"$2,006 ",$176 
2/20/20,784,"$1,915 ",$13.68 ,140,"$1,983 ",8,5.71%,$68 ,$248 
2/21/20,659,"$1,197 ",$13.16 ,91,"$1,978 ",9,9.89%,$781 ,$220 
2/22/20,513,"$1,140 ",$13.74 ,83,$155 ,1,1.20%,($985),$155 
2/23/20,508,"$1,200 ",$12.76 ,94,$728 ,3,3.19%,($472),$243 
2/24/20,684,"$1,876 ",$13.59 ,138,"$2,072 ",11,7.97%,$196 ,$188 
2/25/20,"1,475","$1,764 ",$8.60 ,205,"$2,048 ",9,4.39%,$284 ,$228 
2/26/20,"1,329",$917 ,$6.55 ,140,"$2,048 ",9,6.43%,"$1,131 ",$228 
2/27/20,"1,833","$2,073 ",$8.26 ,251,"$2,874 ",14,5.58%,$801 ,$205 
2/28/20,"1,409","$1,653 ",$7.99 ,207,"$1,730 ",7,3.38%,$77 ,$247 
2/29/20,"1,122","$1,259 ",$6.88 ,183,"$1,442 ",8,4.37%,$184 ,$180 
3/1/20,992,$893 ,$6.38 ,140,"$1,586 ",9,6.43%,$693 ,$176 
3/2/20,"2,522","$2,260 ",$7.11 ,318,"$5,603 ",25,7.86%,"$3,343 ",$224 
3/11/20,410,$23 ,$0.78 ,30,$0 , -   ,0.00%,($23),#DIV/0!
3/12/20,977,"$1,015 ",$4.88 ,208,"$2,082 ",9,4.33%,"$1,066 ",$231 
3/13/20,"1,399","$1,128 ",$4.00 ,282,"$2,394 ",10,3.55%,"$1,266 ",$239 
3/14/20,"1,066",$787 ,$3.86 ,204,"$1,515 ",8,3.92%,$728 ,$189 
3/15/20,943,$772 ,$3.36 ,230,$737 ,4,1.74%,($35),$184 